type,timestamp,price,bnb_amount,usdt_amount,commission,usdt_balance,bnb_balance,signal_type,pnl_pct,entry_price,entry_time,force_close
BUY,2025-10-18 23:14:25,1092.32,0.8688388018163176,950.0,0.9500000000000001,50.0,0.8688388018163176,BUY: MACD_CROSS,,,,
SELL,2025-10-18 23:14:28,1092.32,0.8688388018163176,949.05,0.94905,998.1009499999999,0.0,SELL: ,0.0,1092.32,2025-10-18 23:14:25,False
BUY,2025-10-18 23:14:33,1092.32,0.8671888334897283,948.1959024999999,0.9481959024999999,49.90504750000002,0.8671888334897283,BUY: MACD_CROSS,,,,
SELL,2025-10-18 23:14:35,1092.32,0.8671888334897283,947.2477065974999,0.9472477065974999,996.2055063909024,0.0,SELL: ,0.0,1092.32,2025-10-18 23:14:33,False
BUY,2025-10-18 23:14:42,1092.44,0.8654469223392459,946.3952310713572,0.9463952310713573,49.81027531954521,0.8654469223392459,BUY: ,,,,
SELL,2025-10-18 23:14:43,1092.44,0.8654469223392459,945.4488358402858,0.9454488358402858,994.3136623239908,0.0,"SELL: RSI_EXTREME, BB_OVERBOUGHT",0.0,1092.44,2025-10-18 23:14:42,False
BUY,2025-10-18 23:14:44,1092.44,0.8638033953613777,944.5979792077912,0.9445979792077912,49.71568311619956,0.8638033953613777,BUY: ,,,,
SELL,2025-10-18 23:14:45,1092.43,0.8638033953613777,943.6447431946299,0.9436447431946299,992.4167815676348,0.0,SELL: RSI_EXTREME,-0.0009153820804795598,1092.44,2025-10-18 23:14:44,False
BUY,2025-10-18 23:14:46,1092.44,0.8621554927929805,942.795942489253,0.942795942489253,49.62083907838178,0.8621554927929805,BUY: ,,,,
SELL,2025-10-18 23:14:47,1092.44,0.8621554927929805,941.8531465467637,0.9418531465467637,990.5321324785987,0.0,SELL: RSI_EXTREME,0.0,1092.44,2025-10-18 23:14:46,False
BUY,2025-10-18 23:14:48,1092.44,0.8605182164043921,941.0055258546687,0.9410055258546687,49.52660662392998,0.8605182164043921,BUY: ,,,,
SELL,2025-10-18 23:14:49,1092.44,0.8605182164043921,940.0645203288142,0.9400645203288142,988.6510624324153,0.0,SELL: RSI_EXTREME,0.0,1092.44,2025-10-18 23:14:48,False
BUY,2025-10-18 23:14:50,1092.44,0.8588840492855293,939.2185093107945,0.9392185093107945,49.4325531216208,0.8588840492855293,BUY: ,,,,
SELL,2025-10-18 23:14:51,1092.44,0.8588840492855293,938.2792908014836,0.9382792908014836,986.773564632303,0.0,SELL: RSI_EXTREME,0.0,1092.44,2025-10-18 23:14:50,False
BUY,2025-10-18 23:14:52,1092.44,0.8572529855317337,937.4348864006878,0.9374348864006878,49.33867823161518,0.8572529855317337,BUY: ,,,,
SELL,2025-10-18 23:14:53,1092.43,0.8572529855317337,936.4888789844318,0.9364888789844319,984.8910683370626,0.0,SELL: RSI_EXTREME,-0.0009153820804795598,1092.44,2025-10-18 23:14:52,False
BUY,2025-10-18 23:14:54,1092.43,0.8556254116101619,935.6465149202095,0.9356465149202094,49.24455341685314,0.8556254116101619,BUY: ,,,,
SELL,2025-10-18 23:14:55,1092.44,0.8556254116101619,934.7194246594054,0.9347194246594054,983.0292586515991,0.0,SELL: ,0.0009153904597997954,1092.43,2025-10-18 23:14:54,False
BUY,2025-10-18 23:15:00,1092.43,0.8540079619960089,933.8777957190191,0.9338777957190191,49.15146293257999,0.8540079619960089,BUY: RSI_OVERSOLD,,,,
SELL,2025-10-18 23:15:01,1092.65,0.8540079619960089,933.1317996749392,0.9331317996749392,981.3501308078443,0.0,"SELL: RSI_EXTREME, BB_OVERBOUGHT",0.020138590115616313,1092.43,2025-10-18 23:15:00,False
BUY,2025-10-18 23:15:02,1092.75,0.8522995576693521,932.282624267452,0.932282624267452,49.06750654039229,0.8522995576693521,BUY: ,,,,
SELL,2025-10-18 23:15:03,1092.76,0.8522995576693521,931.3588646387611,0.9313588646387612,979.4950123145146,0.0,"SELL: RSI_EXTREME, BB_OVERBOUGHT",0.0009151223976198495,1092.75,2025-10-18 23:15:02,False
BUY,2025-10-18 23:15:04,1092.75,0.8506883929874995,930.5202616987889,0.9305202616987889,48.974750615725725,0.8506883929874995,BUY: ,,,,
SELL,2025-10-18 23:15:05,1092.75,0.8506883929874995,929.5897414370901,0.9295897414370901,977.6349023113787,0.0,SELL: RSI_EXTREME,0.0,1092.75,2025-10-18 23:15:04,False
BUY,2025-10-18 23:15:06,1092.75,0.8490728931947965,928.7531571958098,0.9287531571958098,48.88174511556895,0.8490728931947965,BUY: ,,,,
SELL,2025-10-18 23:15:07,1092.75,0.8490728931947965,927.8244040386139,0.927824404038614,975.7783247501443,0.0,SELL: RSI_EXTREME,0.0,1092.75,2025-10-18 23:15:06,False
BUY,2025-10-18 23:15:08,1092.75,0.847460461316975,926.989408512637,0.9269894085126371,48.78891623750724,0.847460461316975,BUY: ,,,,
SELL,2025-10-18 23:15:09,1092.75,0.847460461316975,926.0624191041244,0.9260624191041245,973.9252729225275,0.0,SELL: RSI_EXTREME,0.0,1092.75,2025-10-18 23:15:08,False
BUY,2025-10-18 23:15:10,1092.76,0.8458433510259569,925.229009276401,0.9252290092764011,48.696263646126454,0.8458433510259569,BUY: ,,,,
SELL,2025-10-18 23:15:11,1092.76,0.8458433510259569,924.3037802671246,0.9243037802671246,972.0757401329839,0.0,SELL: RSI_EXTREME,0.0,1092.76,2025-10-18 23:15:10,False
BUY,2025-10-18 23:15:12,1092.75,0.8442447780125448,923.4719531263347,0.9234719531263347,48.60378700664921,0.8442447780125448,BUY: ,,,,
SELL,2025-10-18 23:15:13,1092.76,0.8442447780125448,922.5569236209885,0.9225569236209885,970.2381537040168,0.0,SELL: RSI_EXTREME,0.0009151223976198495,1092.75,2025-10-18 23:15:12,False
BUY,2025-10-18 23:15:16,1092.84,0.8425794441755401,921.7262460188159,0.9217262460188159,48.51190768520087,0.8425794441755401,BUY: ,,,,
SELL,2025-10-18 23:15:17,1092.86,0.8425794441755401,920.8213713616807,0.9208213713616807,968.4124576755199,0.0,SELL: RSI_EXTREME,0.001830094066833371,1092.84,2025-10-18 23:15:16,False
BUY,2025-10-18 23:15:18,1092.86,0.8409785726963676,919.9918347917439,0.919991834791744,48.42062288377599,0.8409785726963676,BUY: ,,,,
SELL,2025-10-18 23:15:19,1092.85,0.8409785726963676,919.0634331712253,0.9190634331712253,966.56499262183,0.0,SELL: RSI_EXTREME,-0.0009150302875016842,1092.86,2025-10-18 23:15:18,False
BUY,2025-10-18 23:15:20,1092.85,0.8393818971018417,918.2367429907384,0.9182367429907384,48.32824963109158,0.8393818971018417,BUY: ,,,,
SELL,2025-10-18 23:15:21,1092.86,0.8393818971018417,917.3269000667187,0.9173269000667188,964.7378227977435,0.0,"SELL: RSI_EXTREME, MACD_CROSS",0.000915038660382569,1092.85,2025-10-18 23:15:20,False
BUY,2025-10-18 23:15:29,1092.68,0.8379254957775363,916.5009316578563,0.9165009316578563,48.236891139887234,0.8379254957775363,BUY: BB_OVERSOLD,,,,
SELL,2025-10-18 23:15:31,1092.7,0.8379254957775363,915.6011892361139,0.9156011892361139,962.922479186765,0.0,SELL: MA_DEATH_CROSS,0.0018303620456109574,1092.68,2025-10-18 23:15:29,False
BUY,2025-10-18 23:15:32,1092.71,0.8363258127702677,914.7763552274267,0.9147763552274267,48.1461239593383,0.8363258127702677,BUY: ,,,,
SELL,2025-10-18 23:15:33,1092.71,0.8363258127702677,913.8615788721993,0.9138615788721993,961.0938412526654,0.0,SELL: ,0.0,1092.71,2025-10-18 23:15:32,False
BUY,2025-10-18 23:15:34,1092.73,0.8347223102146386,913.039149190032,0.913039149190032,48.05469206263331,0.8347223102146386,BUY: ,,,,
